zone_id,period_start,period_end,supplied_kl,billed_kl,connections,pipe_age_years,pressure_m
MUM-001,2026-08-01,2026-08-31,16003.1,5601.1,1335,23,11.9
MUM-002,2026-08-01,2026-08-31,24808.9,8683.1,2443,23,19.1
MUM-003,2026-08-01,2026-08-31,26187.2,9165.5,1941,45,20.3
MUM-004,2026-08-01,2026-08-31,20986.6,7345.3,1727,8,12.3
MUM-005,2026-08-01,2026-08-31,22281.8,7798.6,2229,24,12.0
MUM-006,2026-08-01,2026-08-31,21341.3,7469.5,1510,30,13.4
MUM-007,2026-08-01,2026-08-31,12652.0,4428.2,1291,22,13.6
MUM-008,2026-08-01,2026-08-31,26961.5,11413.3,2446,18,8.7
MUM-009,2026-08-01,2026-08-31,19684.8,6889.7,1441,30,17.5
MUM-010,2026-08-01,2026-08-31,29719.5,10401.8,2585,41,24.0
MUM-011,2026-08-01,2026-08-31,29483.6,10319.3,1970,18,17.0
MUM-012,2026-08-01,2026-08-31,15056.9,5269.9,1038,40,12.8
MUM-013,2026-08-01,2026-08-31,22841.3,7994.5,2128,26,25.0
MUM-014,2026-08-01,2026-08-31,15954.3,7548.2,1402,9,13.3
MUM-015,2026-08-01,2026-08-31,12275.7,4296.5,1130,37,22.1
MUM-016,2026-08-01,2026-08-31,10045.1,3515.8,851,34,20.3
MUM-017,2026-08-01,2026-08-31,26065.6,9123.0,2422,11,17.7
MUM-018,2026-08-01,2026-08-31,9511.6,3329.1,768,45,13.8
MUM-019,2026-08-01,2026-08-31,11476.3,4016.7,1026,45,18.1
MUM-020,2026-08-01,2026-08-31,17811.7,6234.1,1341,19,25.3
MUM-021,2026-08-01,2026-08-31,17879.7,6257.9,1357,11,14.1
MUM-022,2026-08-01,2026-08-31,31554.5,11636.4,2475,14,15.1
MUM-023,2026-08-01,2026-08-31,7282.0,2548.7,646,43,25.2
MUM-024,2026-08-01,2026-08-31,7931.4,2776.0,658,16,10.1
MUM-025,2026-08-01,2026-08-31,22349.5,7822.3,2038,8,11.1
MUM-026,2026-08-01,2026-08-31,11738.5,4108.5,1090,28,20.6
MUM-027,2026-08-01,2026-08-31,21467.7,7513.7,1916,21,8.9
MUM-028,2026-08-01,2026-08-31,23597.5,8259.1,2134,33,13.7
MUM-029,2026-08-01,2026-08-31,19600.3,8868.1,1507,24,22.8
MUM-030,2026-08-01,2026-08-31,17179.5,6012.8,1324,20,16.0
MUM-031,2026-08-01,2026-08-31,16068.6,5624.0,1231,8,12.9
MUM-032,2026-08-01,2026-08-31,6697.3,2344.1,694,33,9.2
MUM-033,2026-08-01,2026-08-31,19804.4,6931.5,1514,38,8.2
MUM-034,2026-08-01,2026-08-31,11132.8,3896.5,928,22,16.5
MUM-035,2026-08-01,2026-08-31,22736.7,7957.8,1717,30,15.8
MUM-036,2026-08-01,2026-08-31,7536.5,2637.8,762,10,20.1
MUM-037,2026-08-01,2026-08-31,24782.5,8673.9,2374,22,22.7
MUM-038,2026-08-01,2026-08-31,20690.5,7241.7,1568,9,8.7
MUM-039,2026-08-01,2026-08-31,12024.0,4208.4,1102,35,25.9
MUM-040,2026-08-01,2026-08-31,33855.0,11849.2,2547,34,16.3
MUM-041,2026-08-01,2026-08-31,24037.9,13041.5,2241,9,10.0
MUM-042,2026-08-01,2026-08-31,16435.8,5752.5,1099,12,15.5
MUM-043,2026-08-01,2026-08-31,9898.9,3464.6,788,31,22.0
MUM-044,2026-08-01,2026-08-31,19446.2,6806.2,1395,23,11.8
MUM-045,2026-08-01,2026-08-31,9597.0,3358.9,792,28,23.7
MUM-046,2026-08-01,2026-08-31,13330.7,4665.7,968,16,21.4
MUM-047,2026-08-01,2026-08-31,32054.4,12448.1,2378,9,15.4
MUM-048,2026-08-01,2026-08-31,17949.5,6282.3,1357,19,9.9
MUM-049,2026-08-01,2026-08-31,17031.6,5961.1,1309,17,14.5
MUM-050,2026-08-01,2026-08-31,17975.4,6291.4,1626,12,9.8
MUM-051,2026-08-01,2026-08-31,28900.0,10115.0,2165,42,18.0
MUM-052,2026-08-01,2026-08-31,26837.9,9393.3,1915,42,8.4
MUM-053,2026-08-01,2026-08-31,19213.1,6724.6,1672,13,20.3
MUM-054,2026-08-01,2026-08-31,26068.0,9123.8,1825,35,10.2
MUM-055,2026-08-01,2026-08-31,23359.0,8175.6,1916,27,25.7
MUM-056,2026-08-01,2026-08-31,23147.3,8625.4,2227,22,11.3
MUM-057,2026-08-01,2026-08-31,11380.5,3983.2,975,20,13.4
MUM-058,2026-08-01,2026-08-31,21591.8,7557.1,1940,41,19.5
MUM-059,2026-08-01,2026-08-31,26025.5,9108.9,1965,20,12.8
MUM-060,2026-08-01,2026-08-31,14388.9,5036.1,1029,10,8.3
MUM-061,2026-08-01,2026-08-31,35632.1,12471.2,2517,37,25.9
MUM-062,2026-08-01,2026-08-31,7875.8,2756.5,613,35,16.8
MUM-063,2026-08-01,2026-08-31,13821.1,4837.4,1173,24,16.9
MUM-064,2026-08-01,2026-08-31,23924.8,8373.7,1968,24,11.1
MUM-065,2026-08-01,2026-08-31,22836.3,10058.7,1695,8,22.0
DEL-001,2026-08-01,2026-08-31,30067.3,10523.6,2264,22,25.9
DEL-002,2026-08-01,2026-08-31,10097.5,3534.1,809,33,19.0
DEL-003,2026-08-01,2026-08-31,10492.7,3672.4,1068,34,11.0
DEL-004,2026-08-01,2026-08-31,15473.8,5415.8,1207,31,20.1
DEL-005,2026-08-01,2026-08-31,29397.7,11537.6,2504,33,12.3
DEL-006,2026-08-01,2026-08-31,25224.3,9469.9,1812,9,11.2
DEL-007,2026-08-01,2026-08-31,25537.2,8938.0,2330,45,13.2
DEL-008,2026-08-01,2026-08-31,21109.7,7388.4,1999,22,19.8
DEL-009,2026-08-01,2026-08-31,13249.6,4637.4,1099,27,24.6
DEL-010,2026-08-01,2026-08-31,14720.2,5152.1,1182,26,8.1
DEL-011,2026-08-01,2026-08-31,26816.1,9385.6,2175,30,15.2
DEL-012,2026-08-01,2026-08-31,12575.9,4401.6,1238,40,21.0
DEL-013,2026-08-01,2026-08-31,16106.7,5637.3,1683,12,23.4
DEL-014,2026-08-01,2026-08-31,18413.2,9789.8,1459,44,20.5
DEL-015,2026-08-01,2026-08-31,19773.1,6920.6,1941,41,18.6
