city_code,name,state,district_code,lat,lon,population,feature_code,absorbed_places
MUM,Mumbai,Maharashtra,,19.07283,72.88261,12691836,PPLA,2
DEL,Delhi,Delhi,,28.65195,77.23149,11034555,PPLA,12
BEN,Bengaluru,Karnataka,572,12.97194,77.59369,8495492,PPLA,0
HYD,Hyderabad,Telangana,536,17.38405,78.45636,6993262,PPLA,5
AHM,Ahmedabad,Gujarat,474,23.02579,72.58727,6357693,PPL,0
CHE,Chennai,Tamil Nadu,603,13.08784,80.27847,4681087,PPLA,2
KOL,Kolkata,West Bengal,342,22.56263,88.36304,4631392,PPLA,3
SUR,Surat,Gujarat,492,21.19594,72.83023,4591246,PPLA2,0
PUN,Pune,Maharashtra,521,18.51957,73.85535,3124458,PPL,0
JAI,Jaipur,Rajasthan,110,26.91962,75.78781,3046163,PPLA,0
KAN,Kanpur,Uttar Pradesh,164,26.46523,80.34975,2823249,PPL,1
NAV,Navi Mumbai,Maharashtra,517,19.03681,73.01582,2600000,PPLX,0
LUC,Lucknow,Uttar Pradesh,157,26.83928,80.92313,2472011,PPLA,0
NAG,Nagpur,Maharashtra,505,21.14631,79.08491,2405665,PPLA2,0
COI,Coimbatore,Tamil Nadu,632,11.00555,76.96612,2136916,PPL,1
IND,Indore,Madhya Pradesh,439,22.71792,75.8333,1994397,PPL,0
THA,Thāne,Maharashtra,517,19.19704,72.96355,1841488,PPL,0
VAD,Vadodara,Gujarat,486,22.29941,73.20812,1822221,PPL,0
BHO,Bhopal,Madhya Pradesh,444,23.25469,77.40289,1798218,PPLA,0
RAS,Rasapūdipalem,Andhra Pradesh,544,17.73308,83.31622,1728128,PPL,0
PIM,Pimpri-Chinchwad,Maharashtra,521,18.61867,73.80375,1727692,PPL,0
PAT,Patna,Bihar,230,25.59408,85.13563,1684297,PPLA,0
KAL,Kallakurichi,Tamil Nadu,729,11.73379,78.95925,1682687,PPLA2,0
LUD,Ludhiana,Punjab,041,30.91204,75.85379,1618879,PPL,0
NAS,Nashik,Maharashtra,516,19.99727,73.79096,1486053,PPLA2,0
MAD,Madurai,Tamil Nadu,623,9.919,78.11953,1465625,PPLA2,0
TIR,Tirunelveli,Tamil Nadu,628,8.72742,77.6838,1435844,PPLA2,0
AGR,Agra,Uttar Pradesh,146,27.18333,78.01667,1430055,PPLA2,0
FAR,Faridabad,Haryana,088,28.41124,77.31316,1414050,PPLA2,0
RAJ,Rājkot,Gujarat,476,22.29161,70.79322,1390640,PPL,0
NAJ,Najafgarh,Delhi,097,28.60922,76.97982,1365000,PPL,0
JAM,Jamshedpur,Jharkhand,357,22.80278,86.18545,1339438,PPL,0
PIM2,Pimpri,Maharashtra,521,18.62292,73.80696,1284606,PPL,0
KAL2,Kalyān,Maharashtra,517,19.2437,73.13554,1262255,PPL,0
DOM,Dombivali,Maharashtra,517,19.21667,73.08333,1247327,PPL,0
MEE,Meerut,Uttar Pradesh,138,28.98002,77.70636,1223184,PPL,0
VIR,Virār,Maharashtra,665,19.45591,72.81136,1222390,PPL,0
NOW,Nowrangapur,Odisha,397,19.23114,82.54826,1220946,PPLA2,0
SRI,Srinagar,Jammu and Kashmir,010,34.08565,74.80555,1206419,PPLA,0
GHA,Ghāziābād,Uttar Pradesh,140,28.66535,77.43915,1199191,PPLA2,0
DHA,Dhanbad,Jharkhand,354,23.79759,86.42992,1196214,PPLA2,0
AUR,Aurangabad,Maharashtra,515,19.87757,75.34226,1175116,PPLA2,0
VAR,Varanasi,Uttar Pradesh,197,25.31668,83.01041,1164404,PPL,0
AMR,Amritsar,Punjab,049,31.62234,74.87534,1159227,PPL,0
VIJ,Vijayawada,Andhra Pradesh,749,16.50745,80.6466,1143232,PPL,0
RAN,Ranchi,Jharkhand,364,23.34316,85.3094,1120374,PPLA,0
JAB,Jabalpur,Madhya Pradesh,451,23.16697,79.95006,1081677,PPL,0
PRA,Prayagraj,Uttar Pradesh,175,25.44478,81.84322,1073438,PPL,0
