city_code,name,state,lat,lon,population,zone_count,service_radius_km,modelled_population,retention,area_km2,pipe_length_km
MUM,Mumbai,Maharashtra,19.07283,72.88261,12691836,65,16.306,6021685,0.474,409.05,4914.94
DEL,Delhi,Delhi,28.65195,77.23149,11034555,46,15.376,3705029,0.336,257.42,3069.66
BEN,Bengaluru,Karnataka,12.97194,77.59369,8495492,101,13.776,6263097,0.737,453.69,5337.72
HYD,Hyderabad,Telangana,17.38405,78.45636,6993262,91,12.695,4645154,0.664,347.17,4043.92
AHM,Ahmedabad,Gujarat,23.02579,72.58727,6357693,120,12.197,6125649,0.964,422.52,5051.0
CHE,Chennai,Tamil Nadu,13.08784,80.27847,4681087,93,10.726,3177675,0.679,253.24,2892.33
KOL,Kolkata,West Bengal,22.56263,88.36304,4631392,43,10.678,1453644,0.314,116.06,1324.76
SUR,Surat,Gujarat,21.19594,72.83023,4591246,119,10.639,4591244,1.0,318.8,3802.54
PUN,Pune,Maharashtra,18.51957,73.85535,3124458,45,9.051,1449494,0.464,121.86,1370.13
JAI,Jaipur,Rajasthan,26.91962,75.78781,3046163,84,8.955,3046167,1.0,222.68,2612.06
KAN,Kanpur,Uttar Pradesh,26.46523,80.34975,2823249,64,8.673,1862761,0.66,159.17,1781.32
NAV,Navi Mumbai,Maharashtra,19.03681,73.01582,2600000,59,8.378,1917504,0.738,165.67,1848.36
LUC,Lucknow,Uttar Pradesh,26.83928,80.92313,2472011,70,8.203,2471994,1.0,188.37,2181.48
NAG,Nagpur,Maharashtra,21.14631,79.08491,2405665,69,8.11,2405660,1.0,181.54,2108.19
COI,Coimbatore,Tamil Nadu,11.00555,76.96612,2136916,62,7.716,2136911,1.0,182.28,2041.06
IND,Indore,Madhya Pradesh,22.71792,75.8333,1994397,59,7.495,1994394,1.0,163.67,1853.45
THA,Thāne,Maharashtra,19.19704,72.96355,1841488,52,7.248,1387788,0.754,134.94,1457.84
VAD,Vadodara,Gujarat,22.29941,73.20812,1822221,55,7.217,1822221,1.0,141.46,1628.46
BHO,Bhopal,Madhya Pradesh,23.25469,77.40289,1798218,54,7.176,1798224,1.0,137.32,1589.21
RAS,Rasapūdipalem,Andhra Pradesh,17.73308,83.31622,1728128,52,7.058,1502722,0.87,127.92,1433.04
PIM,Pimpri-Chinchwad,Maharashtra,18.61867,73.80375,1727692,23,7.057,575899,0.333,56.56,609.57
PAT,Patna,Bihar,25.59408,85.13563,1684297,50,6.982,1220501,0.725,120.35,1295.75
KAL,Kallakurichi,Tamil Nadu,11.73379,78.95925,1682687,51,6.979,1682686,1.0,122.65,1440.18
LUD,Ludhiana,Punjab,30.91204,75.85379,1618879,49,6.867,1618868,1.0,144.4,1596.82
NAS,Nashik,Maharashtra,19.99727,73.79096,1486053,46,6.624,1486048,1.0,126.13,1414.42
MAD,Madurai,Tamil Nadu,9.919,78.11953,1465625,45,6.586,1465627,1.0,121.99,1375.63
TIR,Tirunelveli,Tamil Nadu,8.72742,77.6838,1435844,45,6.529,1435847,1.0,119.88,1350.79
