state,district,assessed_year,stage_of_extraction_pct,category,extractable_bcm,extraction_bcm,basis,source,verified
Punjab,,2023,163.76,Over-Exploited,16.98,27.8,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,true
Rajasthan,,2023,148.77,Over-Exploited,11.25,16.74,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,true
Dadra and Nagar Haveli and Daman and Diu,,2023,142.91,Over-Exploited,0.12,0.16,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,false
Haryana,,2023,135.79,Over-Exploited,8.69,11.8,recomputed-from-columns,CGWB-Dynamic-GW-Resources-2023-AnnexureI,true
Delhi,,2023,99.13,Critical,0.34,0.34,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,true
Chandigarh,,2023,75.41,Semi-Critical,0.048,0.037,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,false
Tamil Nadu,,2023,73.91,Semi-Critical,19.51,14.42,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,true
Uttar Pradesh,,2023,70.76,Semi-Critical,65.57,46.4,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,true
Puducherry,,2023,70.27,Semi-Critical,0.18,0.13,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,false
Karnataka,,2023,66.26,Safe,17.08,11.32,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,true
Lakshadweep,,2023,61.72,Safe,0.005,0.003,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,false
Madhya Pradesh,,2023,58.75,Safe,32.85,19.3,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,true
Kerala,,2023,54.55,Safe,5.01,2.73,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,true
Maharashtra,,2023,53.83,Safe,30.95,16.66,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,true
Uttarakhand,,2023,51.69,Safe,1.85,0.95,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,true
Gujarat,,2023,51.68,Safe,25.41,13.13,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,true
Chhattisgarh,,2023,47.17,Safe,12.18,5.75,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,true
Odisha,,2023,46.33,Safe,15.94,7.39,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,true
West Bengal,,2023,44.81,Safe,23.9,10.71,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,true
Bihar,,2023,44.76,Safe,30.72,13.75,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,true
Telangana,,2023,38.65,Safe,20.92,8.09,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,true
Ladakh,,2023,37.05,Safe,0.08,0.03,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,true
Himachal Pradesh,,2023,34.95,Safe,1.01,0.35,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,true
Jharkhand,,2023,31.38,Safe,5.73,1.8,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,true
Andhra Pradesh,,2023,28.3,Safe,26.45,7.48,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,true
Jammu and Kashmir,,2023,24.2,Safe,4.46,1.08,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,true
Goa,,2023,21.37,Safe,0.317,0.068,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,true
Assam,,2023,12.54,Safe,20.93,2.63,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,true
Tripura,,2023,9.92,Safe,1.09,0.11,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,true
Manipur,,2023,7.99,Safe,0.47,0.04,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,true
Sikkim,,2023,5.54,Safe,0.219,0.012,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,true
Meghalaya,,2023,4.58,Safe,1.51,0.07,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,true
Nagaland,,2023,3.76,Safe,0.54,0.02,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,true
Mizoram,,2023,3.7,Safe,0.2,0.01,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,true
Andaman and Nicobar,,2023,1.37,Safe,0.557,7.0,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,false
Arunachal Pradesh,,2023,0.42,Safe,4.16,0.02,as-printed,CGWB-Dynamic-GW-Resources-2023-AnnexureI,true
