city_code,observed_on,rain_mm_7d,rain_mm_30d,source
MUM,2026-09-05,55.4,265.3,open-meteo-era5
DEL,2026-09-05,58.9,253.1,open-meteo-era5
BEN,2026-09-05,15.3,122.0,open-meteo-era5
HYD,2026-09-05,5.6,46.8,open-meteo-era5
AHM,2026-09-05,3.9,67.5,open-meteo-era5
CHE,2026-09-05,12.0,86.8,open-meteo-era5
KOL,2026-09-05,152.8,467.0,open-meteo-era5
SUR,2026-09-05,16.6,113.4,open-meteo-era5
PUN,2026-09-05,12.4,85.3,open-meteo-era5
JAI,2026-09-05,35.5,103.6,open-meteo-era5
KAN,2026-09-05,89.9,441.4,open-meteo-era5
NAV,2026-09-05,48.9,284.8,open-meteo-era5
LUC,2026-09-05,91.8,340.9,open-meteo-era5
NAG,2026-09-05,31.4,173.9,open-meteo-era5
COI,2026-09-05,18.3,122.3,open-meteo-era5
IND,2026-09-05,25.7,238.1,open-meteo-era5
THA,2026-09-05,40.3,235.5,open-meteo-era5
VAD,2026-09-05,3.9,63.7,open-meteo-era5
BHO,2026-09-05,52.1,317.5,open-meteo-era5
RAS,2026-09-05,29.6,195.2,open-meteo-era5
PIM,2026-09-05,9.4,89.8,open-meteo-era5
PAT,2026-09-05,99.3,260.9,open-meteo-era5
KAL,2026-09-05,15.6,102.2,open-meteo-era5
LUD,2026-09-05,15.3,90.2,open-meteo-era5
NAS,2026-09-05,15.8,73.9,open-meteo-era5
MAD,2026-09-05,18.7,68.2,open-meteo-era5
TIR,2026-09-05,7.7,33.5,open-meteo-era5
AGR,2026-09-05,72.0,215.1,open-meteo-era5
FAR,2026-09-05,60.7,264.7,open-meteo-era5
RAJ,2026-09-05,2.3,27.9,open-meteo-era5
NAJ,2026-09-05,59.4,226.5,open-meteo-era5
JAM,2026-09-05,122.6,450.6,open-meteo-era5
PIM2,2026-09-05,9.4,89.8,open-meteo-era5
KAL2,2026-09-05,39.7,254.5,open-meteo-era5
DOM,2026-09-05,35.5,213.8,open-meteo-era5
MEE,2026-09-05,46.8,176.0,open-meteo-era5
VIR,2026-09-05,35.8,235.5,open-meteo-era5
NOW,2026-09-05,45.0,408.9,open-meteo-era5
SRI,2026-09-05,20.9,48.9,open-meteo-era5
GHA,2026-09-05,54.8,219.7,open-meteo-era5
DHA,2026-09-05,134.1,370.1,open-meteo-era5
AUR,2026-09-05,9.8,68.8,open-meteo-era5
VAR,2026-09-05,82.3,388.6,open-meteo-era5
AMR,2026-09-05,16.6,102.0,open-meteo-era5
VIJ,2026-09-05,26.9,81.4,open-meteo-era5
RAN,2026-09-05,87.2,348.7,open-meteo-era5
JAB,2026-09-05,105.0,555.0,open-meteo-era5
PRA,2026-09-05,133.1,506.1,open-meteo-era5
VIS,2026-09-05,22.5,182.8,open-meteo-era5
JOD,2026-09-05,0.4,51.6,open-meteo-era5
GWA,2026-09-05,81.8,304.5,open-meteo-era5
TEN,2026-09-05,3.6,65.9,open-meteo-era5
HOW,2026-09-05,132.0,400.2,open-meteo-era5
RAI,2026-09-05,60.7,352.7,open-meteo-era5
TIR2,2026-09-05,8.8,58.7,open-meteo-era5
KOT,2026-09-05,51.9,218.1,open-meteo-era5
SHI,2026-09-05,12.4,85.3,open-meteo-era5
SHO,2026-09-05,14.6,115.2,open-meteo-era5
CHA,2026-09-05,28.4,130.3,open-meteo-era5
TIR3,2026-09-05,8.6,53.6,open-meteo-era5
GUW,2026-09-05,69.6,351.8,open-meteo-era5
HUB,2026-09-05,12.3,71.2,open-meteo-era5
MYS,2026-09-05,10.9,96.7,open-meteo-era5
SAL,2026-09-05,5.9,69.1,open-meteo-era5
GUR,2026-09-05,57.0,214.7,open-meteo-era5
BHU,2026-09-05,106.5,675.0,open-meteo-era5
BHI,2026-09-05,40.9,217.0,open-meteo-era5
