zone_id,period_start,period_end,supplied_kl,billed_kl,connections,pipe_age_years,pressure_m
Z-001,2026-07-01,2026-07-31,18573.8,13115.2,1297,11,18.0
Z-002,2026-07-01,2026-07-31,28906.4,14778.4,2041,42,13.6
Z-003,2026-07-01,2026-07-31,17004.5,8501.1,1355,29,16.3
Z-004,2026-07-01,2026-07-31,33059.7,21443.3,2376,13,15.7
Z-005,2026-07-01,2026-07-31,33593.5,16013.3,2375,44,23.8
Z-006,2026-07-01,2026-07-31,15240.2,7809.2,1581,38,17.3
Z-007,2026-07-01,2026-07-31,13965.7,8359.6,1059,14,22.7
Z-008,2026-07-01,2026-07-31,21276.1,12361.1,2069,45,15.7
Z-009,2026-07-01,2026-07-31,31846.1,18940.6,2411,20,23.3
Z-010,2026-07-01,2026-07-31,24160.7,13141.6,2063,40,12.5
Z-011,2026-07-01,2026-07-31,17668.3,9552.7,1230,41,22.4
Z-012,2026-07-01,2026-07-31,16315.8,10131.9,1486,18,13.3
Z-013,2026-07-01,2026-07-31,8254.7,4320.7,667,15,19.8
Z-014,2026-07-01,2026-07-31,17510.8,9882.2,1602,29,24.6
Z-015,2026-07-01,2026-07-31,20033.6,11594.4,1594,35,17.2
Z-016,2026-07-01,2026-07-31,27631.9,11904.2,2458,8,23.0
Z-017,2026-07-01,2026-07-31,9604.8,5231.7,801,34,20.4
Z-018,2026-07-01,2026-07-31,36407.7,25111.6,2576,17,25.4
Z-019,2026-07-01,2026-07-31,16711.5,10962.5,1581,10,19.7
Z-020,2026-07-01,2026-07-31,34228.7,23261.6,2354,32,10.6
Z-021,2026-07-01,2026-07-31,10130.3,6422.8,788,6,16.1
Z-022,2026-07-01,2026-07-31,9813.8,6377.8,1007,21,10.2
Z-023,2026-07-01,2026-07-31,19293.9,12199.0,1719,23,20.0
Z-024,2026-07-01,2026-07-31,26416.0,14549.0,1794,42,21.9
Z-025,2026-07-01,2026-07-31,20553.1,13810.6,1607,14,17.8
Z-026,2026-07-01,2026-07-31,23807.9,14002.8,2018,38,13.2
Z-027,2026-07-01,2026-07-31,10907.3,6092.7,927,14,22.1
Z-028,2026-07-01,2026-07-31,23851.5,16032.5,2254,15,17.4
Z-029,2026-07-01,2026-07-31,8198.2,3513.0,628,12,15.0
Z-030,2026-07-01,2026-07-31,30719.5,22459.5,2535,7,8.5
